file,status,match_count,generated_at,publish_modes,pmf_failures,1x2_failures,missing_fields,warnings
2026-06-11.json,WARNINGS,2,2026-07-05T17:42:26Z,market_reconciled,,,,PRE-FIX HISTORICAL DATA: match 2: circular edge — market=0-0 value_flag=True on market_reconciled PMF
2026-06-12.json,WARNINGS,2,2026-06-13T16:03:23Z,market_reconciled,,,,PRE-FIX HISTORICAL DATA: match 3: circular edge — market=0-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 4: circular edge — market=0-0 value_flag=True on market_reconciled PMF
2026-06-13.json,WARNINGS,2,2026-06-14T04:40:01Z,market_reconciled,,,,PRE-FIX HISTORICAL DATA: match 6: circular edge — market=over_2_5 value_flag=True on market_reconciled PMF
2026-06-14.json,WARNINGS,5,2026-06-15T01:20:09Z,market_reconciled,,,,PRE-FIX HISTORICAL DATA: match 10: circular edge — market=0-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 9: circular edge — market=2-1 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 9: circular edge — market=3-1 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 9: circular edge — market=1-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 9: circular edge — market=3-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 8: circular edge — market=over_2_5 value_flag=True on market_reconciled PMF
2026-06-15.json,PASS,4,2026-06-16T02:29:34Z,market_reconciled,,,,
2026-06-16.json,WARNINGS,3,2026-06-17T00:07:33Z,market_reconciled,,,,PRE-FIX HISTORICAL DATA: match 18: circular edge — market=0-1 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 18: circular edge — market=0-2 value_flag=True on market_reconciled PMF
2026-06-17.json,WARNINGS,5,2026-06-17T23:14:19Z,market_reconciled,,,,PRE-FIX HISTORICAL DATA: match 23: circular edge — market=0-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 21: circular edge — market=2-0 value_flag=True on market_reconciled PMF
2026-06-18.json,WARNINGS,4,2026-06-18T23:56:35Z,market_reconciled,,,,PRE-FIX HISTORICAL DATA: match 28: circular edge — market=0-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 27: circular edge — market=1-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 27: circular edge — market=2-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 25: circular edge — market=0-0 value_flag=True on market_reconciled PMF
2026-06-19.json,WARNINGS,4,2026-06-20T02:19:27Z,market_reconciled,,,,PRE-FIX HISTORICAL DATA: match 31: circular edge — market=2-1 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 31: circular edge — market=1-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 31: circular edge — market=1-1 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 31: circular edge — market=2-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 29: circular edge — market=2-1 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 29: circular edge — market=1-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 29: circular edge — market=1-1 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 30: circular edge — market=0-0 value_flag=True on market_reconciled PMF
2026-06-20.json,WARNINGS,3,2026-06-21T01:37:38Z,market_reconciled,,,,PRE-FIX HISTORICAL DATA: match 34: circular edge — market=0-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 34: circular edge — market=2-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 34: circular edge — market=1-0 value_flag=True on market_reconciled PMF | PRE-FIX HISTORICAL DATA: match 33: circular edge — market=0-0 value_flag=True on market_reconciled PMF
