rank,team,pi_home,pi_away,pi_composite,egm_vs_average,n_matches,last_match_date
1,France,1.6351,-0.1635,0.7358,0.7358,17,2026-06-26
2,Brazil,1.2907,-0.1291,0.5808,0.5808,13,2026-06-24
3,Netherlands,1.2032,-0.1203,0.5414,0.5414,8,2026-06-25
4,Portugal,1.1981,-0.1198,0.5391,0.5391,11,2026-06-23
5,Argentina,1.0916,-0.1092,0.4912,0.4912,13,2026-06-22
6,Spain,1.0250,-0.1025,0.4613,0.4613,10,2026-06-21
7,England,0.8980,-0.0898,0.4041,0.4041,14,2026-06-23
8,Colombia,0.6592,-0.0659,0.2967,0.2967,6,2026-06-24
9,Germany,0.6411,-0.0641,0.2885,0.2885,9,2026-06-25
10,Mexico,0.5605,-0.0561,0.2522,0.2522,10,2026-06-25
11,Japan,0.5180,-0.0518,0.2331,0.2331,11,2026-06-25
12,USA,0.3233,-0.0323,0.1455,0.1455,7,2026-06-26
13,Morocco,0.3098,-0.0310,0.1394,0.1394,13,2026-06-24
14,Côte d'Ivoire,0.2799,-0.0280,0.1260,0.1260,3,2026-06-25
15,Belgium,0.2519,-0.0252,0.1134,0.1134,12,2026-06-21
16,Russia,0.2376,-0.0238,0.1069,0.1069,5,2018-07-07
17,Canada,0.2223,-0.0222,0.1000,0.1000,6,2026-06-24
18,Senegal,0.2003,-0.0200,0.0901,0.0901,10,2026-06-26
19,Uruguay,0.1773,-0.0177,0.0798,0.0798,10,2026-06-21
20,Switzerland,0.1251,-0.0125,0.0563,0.0563,11,2026-06-24
21,Ecuador,0.0777,-0.0078,0.0349,0.0349,6,2026-06-25
22,Peru,0.0642,-0.0064,0.0289,0.0289,3,2018-06-26
23,Cameroon,0.0380,-0.0038,0.0171,0.0171,3,2022-12-02
24,Cabo Verde,-0.0105,0.0010,-0.0047,-0.0047,2,2026-06-21
25,Norway,-0.0109,0.0011,-0.0049,-0.0049,3,2026-06-26
26,Sweden,-0.0117,0.0012,-0.0053,-0.0053,8,2026-06-25
27,Bosnia & Herzegovina,-0.0467,0.0047,-0.0210,-0.0210,3,2026-06-24
28,South Africa,-0.0559,0.0056,-0.0252,-0.0252,3,2026-06-25
29,Austria,-0.0590,0.0059,-0.0266,-0.0266,2,2026-06-22
30,Egypt,-0.0736,0.0074,-0.0331,-0.0331,5,2026-06-22
31,Ghana,-0.0764,0.0076,-0.0344,-0.0344,5,2026-06-23
32,Croatia,-0.0876,0.0088,-0.0394,-0.0394,16,2026-06-23
33,Nigeria,-0.1049,0.0105,-0.0472,-0.0472,3,2018-06-26
34,DR Congo,-0.1668,0.0167,-0.0751,-0.0751,2,2026-06-24
35,Paraguay,-0.1867,0.0187,-0.0840,-0.0840,3,2026-06-26
36,Türkiye,-0.1924,0.0192,-0.0866,-0.0866,3,2026-06-26
37,Denmark,-0.2324,0.0232,-0.1046,-0.1046,7,2022-11-30
38,Algeria,-0.2353,0.0235,-0.1059,-0.1059,2,2026-06-23
39,Iran,-0.2517,0.0252,-0.1132,-0.1132,8,2026-06-21
40,New Zealand,-0.2890,0.0289,-0.1301,-0.1301,2,2026-06-22
41,Australia,-0.2900,0.0290,-0.1305,-0.1305,10,2026-06-26
42,Jordan,-0.3981,0.0398,-0.1792,-0.1792,2,2026-06-23
43,Iceland,-0.4117,0.0412,-0.1853,-0.1853,3,2018-06-26
44,South Korea,-0.4182,0.0418,-0.1882,-0.1882,10,2026-06-25
45,Scotland,-0.4818,0.0482,-0.2168,-0.2168,3,2026-06-24
46,Poland,-0.5201,0.0520,-0.2340,-0.2340,7,2022-12-04
47,Czechia,-0.5521,0.0552,-0.2484,-0.2484,3,2026-06-25
48,Serbia,-0.5680,0.0568,-0.2556,-0.2556,6,2022-12-02
49,Wales,-0.7055,0.0706,-0.3175,-0.3175,3,2022-11-29
50,Haiti,-0.7989,0.0799,-0.3595,-0.3595,3,2026-06-24
51,Curaçao,-0.9487,0.0949,-0.4269,-0.4269,3,2026-06-25
52,Uzbekistan,-1.0173,0.1017,-0.4578,-0.4578,2,2026-06-23
53,Saudi Arabia,-1.0407,0.1041,-0.4683,-0.4683,8,2026-06-21
54,Panama,-1.0684,0.1068,-0.4808,-0.4808,5,2026-06-23
55,Costa Rica,-1.1515,0.1152,-0.5182,-0.5182,6,2022-12-01
56,Tunisia,-1.3756,0.1376,-0.6190,-0.6190,9,2026-06-25
57,Iraq,-1.4619,0.1462,-0.6579,-0.6579,3,2026-06-26
58,Qatar,-1.5178,0.1518,-0.6830,-0.6830,6,2026-06-24
